address,value,id,date,high,low,open,adj close,volume,close,swing,rsi,sma,ema,macd,signal,bb_up,bb_low,william,vol,onvolume,cmo,dpo,+di,-di,dx,adx,adxr,Target
So11111111111111111111111111111111111111112,191.91190058515244,3598,2024-03-26,191.91190058515244,191.91190058515244,191.91190058515244,191.91190058515244,191.91190058515244,191.91190058515244,-13.8873,51.1136,192.6585,192.5969,1.6429,2.1066,196.9857,188.3313,-100.0,-1.5494,13064.194004117771,-100.0,1.822,51.1123,48.8877,2.2246,24.8542,25.0681,0
So11111111111111111111111111111111111111112,192.74513958774727,3597,2024-03-26,192.74513958774727,192.74513958774727,192.74513958774727,192.74513958774727,192.74513958774727,192.74513958774727,-33.758,54.4412,192.68,192.669,1.9276,2.2225,196.9964,188.3636,-100.0,-0.812,13256.105904702923,-43.4957,1.7467,54.4382,45.5618,8.8763,26.5949,26.4163,0
So11111111111111111111111111111111111111112,194.77062197209315,3596,2024-03-26,194.77062197209315,194.77062197209315,194.77062197209315,194.77062197209315,194.77062197209315,194.77062197209315,-0.2316,63.8162,192.7006,192.661,2.1782,2.2962,197.022,188.3792,-58.1076,-0.1107,13448.85104429067,35.5773,2.7498,63.8104,36.1896,27.6208,27.9579,27.7967,0
So11111111111111111111111111111111111111112,194.78451660859895,3595,2024-03-26,194.78451660859895,194.78451660859895,194.78451660859895,194.78451660859895,194.78451660859895,194.78451660859895,-6.5496,63.8866,192.6102,192.439,2.2601,2.3257,196.829,188.3914,-46.4187,0.2254,13643.621666262763,-21.2826,1.4685,63.8805,36.1195,27.7609,27.9838,28.5714,0
So11111111111111111111111111111111111111112,195.17749205601623,3594,2024-03-26,195.17749205601623,195.17749205601623,195.17749205601623,195.17749205601623,195.17749205601623,195.17749205601623,-3.2348,65.7828,192.5112,192.1921,2.3303,2.3421,196.6125,188.4099,-21.3656,0.3822,13838.406182871362,10.06,1.0506,65.777,34.223,31.554,28.001,28.9096,1
So11111111111111111111111111111111111111112,195.37157867968148,3593,2024-03-26,195.37157867968148,195.37157867968148,195.37157867968148,195.37157867968148,195.37157867968148,195.37157867968148,17.2369,66.6882,192.3791,191.8778,2.346,2.345,196.2944,188.4638,-7.1105,0.0317,14033.583674927379,33.5975,0.8405,66.6849,33.3151,33.3699,27.7277,29.3738,0
So11111111111111111111111111111111111111112,194.33736521559922,3592,2024-03-26,194.33736521559922,194.33736521559922,194.33736521559922,194.33736521559922,194.33736521559922,194.33736521559922,3.8416,64.2462,192.1365,191.5101,2.3122,2.3448,195.8775,188.3955,-76.7015,-0.3251,13838.212096247697,49.6059,-0.4207,64.2427,35.7573,28.4854,27.2937,29.0912,0
So11111111111111111111111111111111111111112,194.1068686712993,3591,2024-03-26,194.1068686712993,194.1068686712993,194.1068686712993,194.1068686712993,194.1068686712993,194.1068686712993,-22.692,63.6924,191.7783,191.2125,2.3407,2.3529,195.9545,187.6021,-35.7216,0.7765,13643.874731032098,47.4112,-0.7675,63.6919,36.3081,27.3838,27.202,28.8299,0
So11111111111111111111111111111111111111112,195.4683893659838,3590,2024-03-26,195.4683893659838,195.4683893659838,195.4683893659838,195.4683893659838,195.4683893659838,195.4683893659838,10.6482,69.5717,191.4715,190.9078,2.3665,2.356,195.8162,187.1268,-0.0,1.6288,13837.981599703397,100.0,0.5865,69.5702,30.4298,39.1403,27.188,28.5906,0
So11111111111111111111111111111111111111112,194.82949601139217,3589,2024-03-26,194.82949601139217,194.82949601139217,194.82949601139217,194.82949601139217,194.82949601139217,194.82949601139217,13.9281,68.295,191.1777,190.4277,2.2264,2.3533,195.1831,187.1723,-0.0,2.02,13642.513210337413,100.0,0.1449,68.2952,31.7048,36.5903,26.2686,27.6267,0
